Solver Name,Execution Time,Memory
Minisat,880, 9569
Minisat,743, 9569
Minisat,841, 9569
Minisat,742, 9569
Minisat,670, 9569
Sat4j,690, 9569
Sat4j,682, 9569
Sat4j,741, 9569
Sat4j,761, 9569
Sat4j,772, 9569
MiniSatProver,781, 9569
MiniSatProver,641, 9569
MiniSatProver,1233, 9569
MiniSatProver,681, 9569
MiniSatProver,712, 9569
CryptoMiniSatJNI,832, 9569
CryptoMiniSatJNI,863, 9569
CryptoMiniSatJNI,783, 9569
CryptoMiniSatJNI,752, 9569
CryptoMiniSatJNI,842, 9569
Glucose,892, 9569
Glucose,681, 9569
Glucose,772, 9569
Glucose,721, 9569
Glucose,732, 9569
Glucose41JNI,842, 9569
Glucose41JNI,752, 9569
Glucose41JNI,772, 9569
Glucose41JNI,791, 9569
Glucose41JNI,862, 9569
KK,750, 9569
KK,691, 9569
KK,894, 9569
KK,812, 9569
KK,754, 9569
Lingeling,632, 9569
Lingeling,751, 9569
Lingeling,682, 9569
Lingeling,752, 9569
Lingeling,690, 9569
