Solver Name,Execution Time,Memory
Minisat,731, 9569
Minisat,720, 9569
Minisat,902, 9569
Minisat,872, 9569
Minisat,803, 9569
Sat4j,814, 9569
Sat4j,740, 9569
Sat4j,753, 9569
Sat4j,752, 9569
Sat4j,792, 9569
MiniSatProver,580, 9569
MiniSatProver,783, 9569
MiniSatProver,710, 9569
MiniSatProver,682, 9569
MiniSatProver,691, 9569
CryptoMiniSatJNI,792, 9569
CryptoMiniSatJNI,743, 9569
CryptoMiniSatJNI,793, 9569
CryptoMiniSatJNI,832, 9569
CryptoMiniSatJNI,751, 9569
Glucose,764, 9569
Glucose,720, 9569
Glucose,741, 9569
Glucose,904, 9569
Glucose,811, 9569
Glucose41JNI,652, 9569
Glucose41JNI,743, 9569
Glucose41JNI,833, 9569
Glucose41JNI,800, 9569
Glucose41JNI,741, 9569
KK,761, 9569
KK,712, 9569
KK,780, 9569
KK,890, 9569
KK,831, 9569
Lingeling,713, 9569
Lingeling,690, 9569
Lingeling,751, 9569
Lingeling,750, 9569
Lingeling,710, 9569
