Solver Name,Execution Time,Memory
Minisat,741, 9569
Minisat,723, 9569
Minisat,783, 9569
Minisat,941, 9569
Minisat,740, 9569
Sat4j,712, 9569
Sat4j,860, 9569
Sat4j,672, 9569
Sat4j,791, 9569
Sat4j,832, 9569
MiniSatProver,750, 9569
MiniSatProver,681, 9569
MiniSatProver,741, 9569
MiniSatProver,860, 9569
MiniSatProver,691, 9569
CryptoMiniSatJNI,750, 9569
CryptoMiniSatJNI,921, 9569
CryptoMiniSatJNI,761, 9569
CryptoMiniSatJNI,822, 9569
CryptoMiniSatJNI,822, 9569
Glucose,820, 9569
Glucose,732, 9569
Glucose,721, 9569
Glucose,833, 9569
Glucose,782, 9569
Glucose41JNI,731, 9569
Glucose41JNI,663, 9569
Glucose41JNI,780, 9569
Glucose41JNI,712, 9569
Glucose41JNI,641, 9569
KK,900, 9569
KK,830, 9569
KK,790, 9569
KK,952, 9569
KK,791, 9569
Lingeling,802, 9569
Lingeling,831, 9569
Lingeling,940, 9569
Lingeling,731, 9569
Lingeling,731, 9569
