Solver Name,Execution Time,Memory
Minisat,750, 9569
Minisat,762, 9569
Minisat,751, 9569
Minisat,781, 9569
Minisat,770, 9569
Sat4j,820, 9569
Sat4j,681, 9569
Sat4j,931, 9569
Sat4j,882, 9569
Sat4j,762, 9569
MiniSatProver,871, 9569
MiniSatProver,710, 9569
MiniSatProver,802, 9569
MiniSatProver,712, 9569
MiniSatProver,761, 9569
CryptoMiniSatJNI,642, 9569
CryptoMiniSatJNI,712, 9569
CryptoMiniSatJNI,620, 9569
CryptoMiniSatJNI,760, 9569
CryptoMiniSatJNI,802, 9569
Glucose,722, 9569
Glucose,730, 9569
Glucose,752, 9569
Glucose,801, 9569
Glucose,732, 9569
Glucose41JNI,772, 9569
Glucose41JNI,771, 9569
Glucose41JNI,751, 9569
Glucose41JNI,741, 9569
Glucose41JNI,703, 9569
KK,752, 9569
KK,773, 9569
KK,833, 9569
KK,830, 9569
KK,721, 9569
Lingeling,691, 9569
Lingeling,681, 9569
Lingeling,702, 9569
Lingeling,592, 9569
Lingeling,680, 9569
