Solver Name,Execution Time,Memory
Minisat,701, 9569
Minisat,760, 9569
Minisat,791, 9569
Minisat,712, 9569
Minisat,661, 9569
Sat4j,760, 9569
Sat4j,873, 9569
Sat4j,722, 9569
Sat4j,710, 9569
Sat4j,750, 9569
MiniSatProver,824, 9568
MiniSatProver,772, 9569
MiniSatProver,712, 9569
MiniSatProver,691, 9569
MiniSatProver,742, 9569
CryptoMiniSatJNI,881, 9569
CryptoMiniSatJNI,723, 9569
CryptoMiniSatJNI,722, 9569
CryptoMiniSatJNI,761, 9569
CryptoMiniSatJNI,813, 9569
Glucose,721, 9569
Glucose,721, 9569
Glucose,711, 9569
Glucose,771, 9569
Glucose,681, 9569
Glucose41JNI,602, 9569
Glucose41JNI,741, 9569
Glucose41JNI,601, 9569
Glucose41JNI,730, 9569
Glucose41JNI,662, 9569
KK,710, 9569
KK,671, 9569
KK,681, 9569
KK,821, 9569
KK,712, 9569
Lingeling,702, 9569
Lingeling,702, 9569
Lingeling,671, 9569
Lingeling,692, 9569
Lingeling,680, 9569
