Solver Name,Execution Time,Memory
Minisat,883, 9569
Minisat,711, 9569
Minisat,861, 9569
Minisat,773, 9569
Minisat,901, 9569
Sat4j,743, 9569
Sat4j,824, 9569
Sat4j,750, 9569
Sat4j,787, 9569
Sat4j,873, 9569
MiniSatProver,711, 9569
MiniSatProver,741, 9569
MiniSatProver,691, 9569
MiniSatProver,772, 9569
MiniSatProver,823, 9569
CryptoMiniSatJNI,801, 9569
CryptoMiniSatJNI,774, 9569
CryptoMiniSatJNI,842, 9569
CryptoMiniSatJNI,881, 9569
CryptoMiniSatJNI,721, 9569
Glucose,800, 9569
Glucose,692, 9569
Glucose,1001, 9569
Glucose,721, 9569
Glucose,690, 9569
Glucose41JNI,771, 9569
Glucose41JNI,804, 9569
Glucose41JNI,731, 9569
Glucose41JNI,631, 9569
Glucose41JNI,682, 9569
KK,850, 9569
KK,951, 9569
KK,803, 9569
KK,830, 9569
KK,953, 9569
Lingeling,761, 9569
Lingeling,740, 9569
Lingeling,690, 9569
Lingeling,691, 9569
Lingeling,730, 9569
