Solver Name,Execution Time,Memory
Minisat,720, 9569
Minisat,883, 9569
Minisat,673, 9569
Minisat,800, 9569
Minisat,752, 9569
Sat4j,930, 9569
Sat4j,691, 9569
Sat4j,701, 9569
Sat4j,772, 9569
Sat4j,902, 9569
MiniSatProver,712, 9569
MiniSatProver,714, 9569
MiniSatProver,702, 9569
MiniSatProver,802, 9569
MiniSatProver,792, 9569
CryptoMiniSatJNI,912, 9569
CryptoMiniSatJNI,812, 9569
CryptoMiniSatJNI,861, 9569
CryptoMiniSatJNI,701, 9569
CryptoMiniSatJNI,852, 9569
Glucose,932, 9569
Glucose,681, 9569
Glucose,731, 9569
Glucose,701, 9569
Glucose,783, 9569
Glucose41JNI,632, 9569
Glucose41JNI,811, 9569
Glucose41JNI,781, 9569
Glucose41JNI,861, 9569
Glucose41JNI,773, 9569
KK,822, 9569
KK,752, 9569
KK,744, 9569
KK,782, 9569
KK,801, 9569
Lingeling,630, 9569
Lingeling,701, 9569
Lingeling,911, 9569
Lingeling,670, 9569
Lingeling,751, 9569
