Solver Name,Execution Time,Memory
Minisat,781, 9569
Minisat,712, 9569
Minisat,791, 9569
Minisat,730, 9569
Minisat,711, 9569
Sat4j,702, 9569
Sat4j,840, 9569
Sat4j,712, 9569
Sat4j,691, 9569
Sat4j,831, 9569
MiniSatProver,793, 9569
MiniSatProver,711, 9569
MiniSatProver,782, 9569
MiniSatProver,611, 9569
MiniSatProver,790, 9569
CryptoMiniSatJNI,730, 9569
CryptoMiniSatJNI,752, 9569
CryptoMiniSatJNI,860, 9569
CryptoMiniSatJNI,783, 9569
CryptoMiniSatJNI,962, 9569
Glucose,941, 9569
Glucose,723, 9569
Glucose,721, 9569
Glucose,822, 9569
Glucose,731, 9569
Glucose41JNI,783, 9569
Glucose41JNI,783, 9569
Glucose41JNI,810, 9569
Glucose41JNI,752, 9569
Glucose41JNI,672, 9569
KK,861, 9569
KK,1022, 9569
KK,730, 9569
KK,892, 9569
KK,741, 9569
Lingeling,671, 9569
Lingeling,712, 9569
Lingeling,723, 9569
Lingeling,722, 9569
Lingeling,773, 9569
