Solver Name,Execution Time,Memory
Minisat,721, 9569
Minisat,802, 9569
Minisat,571, 9569
Minisat,701, 9569
Minisat,813, 9569
Sat4j,731, 9569
Sat4j,762, 9569
Sat4j,854, 9569
Sat4j,732, 9569
Sat4j,871, 9569
MiniSatProver,754, 9569
MiniSatProver,682, 9569
MiniSatProver,730, 9569
MiniSatProver,782, 9569
MiniSatProver,690, 9569
CryptoMiniSatJNI,721, 9569
CryptoMiniSatJNI,702, 9569
CryptoMiniSatJNI,771, 9569
CryptoMiniSatJNI,772, 9569
CryptoMiniSatJNI,771, 9569
Glucose,792, 9569
Glucose,691, 9569
Glucose,721, 9569
Glucose,810, 9569
Glucose,922, 9569
Glucose41JNI,673, 9569
Glucose41JNI,730, 9569
Glucose41JNI,831, 9569
Glucose41JNI,731, 9569
Glucose41JNI,771, 9569
KK,922, 9569
KK,752, 9569
KK,741, 9569
KK,682, 9569
KK,702, 9569
Lingeling,734, 9569
Lingeling,744, 9569
Lingeling,670, 9569
Lingeling,651, 9569
Lingeling,682, 9569
