Solver Name,Execution Time,Memory
Minisat,742, 9569
Minisat,681, 9569
Minisat,882, 9569
Minisat,761, 9569
Minisat,751, 9569
Sat4j,711, 9569
Sat4j,731, 9569
Sat4j,884, 9569
Sat4j,771, 9569
Sat4j,981, 9569
MiniSatProver,721, 9569
MiniSatProver,641, 9569
MiniSatProver,761, 9569
MiniSatProver,681, 9569
MiniSatProver,710, 9569
CryptoMiniSatJNI,760, 9569
CryptoMiniSatJNI,691, 9569
CryptoMiniSatJNI,941, 9569
CryptoMiniSatJNI,843, 9569
CryptoMiniSatJNI,772, 9569
Glucose,862, 9569
Glucose,801, 9569
Glucose,803, 9569
Glucose,670, 9569
Glucose,812, 9569
Glucose41JNI,682, 9569
Glucose41JNI,711, 9569
Glucose41JNI,842, 9569
Glucose41JNI,753, 9569
Glucose41JNI,703, 9569
KK,862, 9569
KK,791, 9569
KK,723, 9569
KK,902, 9569
KK,823, 9569
Lingeling,701, 9569
Lingeling,630, 9569
Lingeling,661, 9569
Lingeling,721, 9569
Lingeling,672, 9569
