Solver Name,Execution Time,Memory
Minisat,703, 9569
Minisat,810, 9569
Minisat,752, 9569
Minisat,860, 9569
Minisat,690, 9569
Sat4j,682, 9569
Sat4j,980, 9569
Sat4j,683, 9569
Sat4j,792, 9569
Sat4j,872, 9569
MiniSatProver,622, 9569
MiniSatProver,692, 9569
MiniSatProver,731, 9569
MiniSatProver,731, 9569
MiniSatProver,730, 9569
CryptoMiniSatJNI,842, 9569
CryptoMiniSatJNI,752, 9569
CryptoMiniSatJNI,802, 9569
CryptoMiniSatJNI,712, 9569
CryptoMiniSatJNI,743, 9569
Glucose,852, 9569
Glucose,910, 9569
Glucose,721, 9569
Glucose,591, 9569
Glucose,732, 9569
Glucose41JNI,821, 9569
Glucose41JNI,680, 9569
Glucose41JNI,750, 9569
Glucose41JNI,893, 9569
Glucose41JNI,710, 9569
KK,771, 9569
KK,800, 9569
KK,922, 9569
KK,701, 9569
KK,791, 9569
Lingeling,731, 9569
Lingeling,671, 9569
Lingeling,703, 9569
Lingeling,692, 9569
Lingeling,691, 9569
