Solver Name,Execution Time,Memory
Minisat,783, 9569
Minisat,811, 9569
Minisat,741, 9569
Minisat,712, 9569
Minisat,761, 9569
Sat4j,682, 9569
Sat4j,681, 9569
Sat4j,561, 9569
Sat4j,730, 9569
Sat4j,762, 9569
MiniSatProver,1091, 9566
MiniSatProver,742, 9569
MiniSatProver,782, 9569
MiniSatProver,701, 9569
MiniSatProver,692, 9569
CryptoMiniSatJNI,821, 9569
CryptoMiniSatJNI,693, 9569
CryptoMiniSatJNI,661, 9569
CryptoMiniSatJNI,773, 9569
CryptoMiniSatJNI,771, 9569
Glucose,761, 9569
Glucose,770, 9569
Glucose,733, 9569
Glucose,760, 9569
Glucose,811, 9569
Glucose41JNI,792, 9569
Glucose41JNI,773, 9569
Glucose41JNI,662, 9569
Glucose41JNI,765, 9569
Glucose41JNI,765, 9569
KK,811, 9569
KK,874, 9569
KK,882, 9569
KK,785, 9569
KK,872, 9569
Lingeling,771, 9569
Lingeling,771, 9569
Lingeling,760, 9569
Lingeling,691, 9569
Lingeling,761, 9569
