Solver Name,Execution Time,Memory
Minisat,671, 9569
Minisat,812, 9569
Minisat,691, 9569
Minisat,771, 9569
Minisat,732, 9569
Sat4j,882, 9569
Sat4j,673, 9569
Sat4j,930, 9569
Sat4j,740, 9569
Sat4j,720, 9569
MiniSatProver,712, 9569
MiniSatProver,681, 9569
MiniSatProver,723, 9569
MiniSatProver,761, 9569
MiniSatProver,682, 9569
CryptoMiniSatJNI,824, 9569
CryptoMiniSatJNI,731, 9569
CryptoMiniSatJNI,801, 9569
CryptoMiniSatJNI,831, 9569
CryptoMiniSatJNI,682, 9569
Glucose,872, 9569
Glucose,872, 9569
Glucose,692, 9569
Glucose,692, 9569
Glucose,770, 9569
Glucose41JNI,762, 9569
Glucose41JNI,1944, 9569
Glucose41JNI,811, 9569
Glucose41JNI,811, 9569
Glucose41JNI,741, 9569
KK,771, 9569
KK,802, 9569
KK,790, 9569
KK,771, 9569
KK,661, 9569
Lingeling,662, 9569
Lingeling,771, 9569
Lingeling,643, 9569
Lingeling,784, 9569
Lingeling,733, 9569
