Solver Name,Execution Time,Memory
Minisat,752, 9569
Minisat,762, 9569
Minisat,732, 9569
Minisat,880, 9569
Minisat,844, 9569
Sat4j,802, 9569
Sat4j,823, 9569
Sat4j,622, 9569
Sat4j,801, 9569
Sat4j,782, 9569
MiniSatProver,763, 9569
MiniSatProver,631, 9569
MiniSatProver,750, 9569
MiniSatProver,630, 9569
MiniSatProver,670, 9569
CryptoMiniSatJNI,741, 9569
CryptoMiniSatJNI,771, 9569
CryptoMiniSatJNI,762, 9569
CryptoMiniSatJNI,872, 9569
CryptoMiniSatJNI,722, 9569
Glucose,770, 9569
Glucose,762, 9569
Glucose,941, 9569
Glucose,671, 9569
Glucose,722, 9569
Glucose41JNI,752, 9569
Glucose41JNI,792, 9569
Glucose41JNI,771, 9569
Glucose41JNI,801, 9569
Glucose41JNI,731, 9569
KK,671, 9569
KK,781, 9569
KK,820, 9569
KK,911, 9569
KK,821, 9569
Lingeling,700, 9569
Lingeling,621, 9569
Lingeling,841, 9569
Lingeling,600, 9569
Lingeling,681, 9569
